location_id,X,Y,SOCc
RD-A10,-88.21295833,39.89091738,1.79
RD-A11,-88.21253139,39.89092031999999,1.78
RD-A12,-88.21210636,39.89092639,1.77
RD-A13,-88.21167996,39.89093091,1.79
RD-A14,-88.21125268,39.89093541999999,2.16
RD-A15,-88.21082628,39.89094009,1.84
RD-A16,-88.2104021,39.89094420000001,2.16
RD-A17,-88.20997438,39.89094834,1.85
RD-A18,-88.20954796,39.89095343,1.55
RD-A19,-88.20912212000002,39.89095791999999,1.94
RD-A2,-88.21636902,39.89087444,1.35
RD-A20,-88.20869467,39.89096363,1.55
RD-A21,-88.20826958,39.89096728999999,1.15
RD-A3,-88.21594014,39.89087801,2.48
RD-A4,-88.21551452,39.89089001,1.58
RD-A5,-88.21508776,39.89089389,1.64
RD-A6,-88.21466241,39.89089778000001,1.55
RD-A7,-88.21423836,39.89090327000001,1.72
RD-A8,-88.21381277,39.89090965,1.55
RD-A9,-88.21338513,39.89091301,1.41
RD-B1,-88.2167984,39.89054851,2.15
RD-B10,-88.21295478,39.89058587,1.53
RD-B11,-88.21252741,39.89059131,1.79
RD-B12,-88.21209997,39.89059513,1.7
RD-B13,-88.21167366,39.89060000999999,0.95
RD-B14,-88.21124446,39.89060427999999,1.21
RD-B15,-88.21081874000001,39.89060973,1.41
RD-B16,-88.21039157000001,39.89061531,1.25
RD-B17,-88.2099675,39.89061926,1.97
RD-B18,-88.20954164000001,39.8906232,1.53
RD-B19,-88.20911243,39.89062817999999,1.94
RD-B2,-88.21637408,39.8905536,2.1
RD-B20,-88.20868583,39.89063258000001,1.39
RD-B21,-88.2082594,39.89063618,2.13
RD-B4,-88.21551734,39.89055926,1.61
RD-B5,-88.21508576,39.89056352,1.23
RD-B6,-88.21466223,39.89056823999999,1.34
RD-B7,-88.21423176,39.89057296000001,1.41
RD-B8,-88.2138057,39.89057763999999,1.23
RD-B9,-88.21337915,39.89058152999999,1.46
RD-C1,-88.21674354,39.89021691,2.08
RD-C10,-88.21293615000002,39.89025801,1.69
RD-C11,-88.21251118,39.89026228,1.57
RD-C12,-88.21209079,39.89026663999999,1.89
RD-C13,-88.21166512,39.89027144000001,1.98
RD-C14,-88.21123831,39.89027595999999,1.5
RD-C15,-88.21081373,39.89028038,1.48
RD-C16,-88.21038552,39.89028599,1.23
RD-C17,-88.20996329,39.89028968000001,1.42
RD-C18,-88.20953887,39.89029463999999,1.31
RD-C19,-88.20911338,39.89029776000001,1.71
RD-C2,-88.21631663,39.890223520000006,2.1
RD-C20,-88.20868369000002,39.89030379999999,1.32
RD-C21,-88.20825853,39.890306820000006,1.9
RD-C3,-88.2158885,39.89022627999999,2.64
RD-C4,-88.21546026,39.89023147,1.68
RD-C5,-88.21506647,39.89023473,1.36
RD-C6,-88.21463952,39.89023955999999,1.63
RD-C7,-88.21421672,39.89024361,1.09
RD-C8,-88.2137908,39.89024868999999,1.59
RD-C9,-88.21336217,39.89025337,1.26
RD-D1,-88.21676985000002,39.88988658,1.95
RD-D10,-88.21290079000002,39.88991471,2.59
RD-D11,-88.2124715,39.88991951,2.61
RD-D12,-88.21204276,39.8899237,1.54
RD-D13,-88.21161608,39.88992781000001,1.72
RD-D14,-88.21118592,39.88993356,2.23
RD-D15,-88.21075352,39.88993821,1.75
RD-D16,-88.21032551,39.88994281,1.87
RD-D17,-88.20989201,39.88994686,2.13
RD-D18,-88.20946338,39.88995171,1.92
RD-D19,-88.20903329000001,39.88995561,1.55
RD-D20,-88.20860607,39.88996096,2.33
RD-D21,-88.20817716,39.889965540000006,1.58
RD-D3,-88.21590993,39.889882,2.29
RD-D4,-88.21547933,39.889887220000006,1.55
RD-D5,-88.21504911,39.88989141,1.91
RD-D6,-88.21461849,39.88989619,2.44
RD-D7,-88.21418790000001,39.88990058,2.28
RD-D8,-88.21375679,39.88990508,2.52
RD-D9,-88.21332943,39.88990987999999,2.71
RD-E1,-88.21678454,39.88955906,1.9
RD-E10,-88.21292622,39.88959761,2.57
RD-E11,-88.21249908,39.88960166,1.4
RD-E12,-88.21207231,39.88960659999999,1.9
RD-E13,-88.2116454,39.88961059,1.98
RD-E14,-88.21122316,39.88961548,1.78
RD-E15,-88.21079342,39.88961973999999,1.45
RD-E16,-88.21036559,39.88962433999999,2.07
RD-E17,-88.20993822,39.88962912,1.57
RD-E18,-88.20950883,39.88963374,1.95
RD-E19,-88.20908323,39.88963836,1.46
RD-E2,-88.21635966,39.88956021999999,2.35
RD-E20,-88.20865601,39.88964292000001,1.52
RD-E21,-88.20822333,39.88964828000001,1.42
RD-E3,-88.21593308,39.88956492,1.96
RD-E4,-88.21550447,39.88956961,1.7
RD-E5,-88.21506937,39.88957493,1.76
RD-E6,-88.21464014,39.88957868999999,1.76
RD-E7,-88.21421337,39.88958356999999,1.81
RD-E8,-88.21378547,39.88958791,1.86
RD-E9,-88.2133578,39.8895934,1.59
RD-F10,-88.21292782,39.88926723999999,1.62
RD-F11,-88.21250699,39.88927181999999,1.66
RD-F12,-88.21207916,39.88927686,2.28
RD-F13,-88.21165305,39.88928123000001,2.43
RD-F14,-88.21122847,39.88928579,2.59
RD-F15,-88.21080041,39.88929001999999,2.18
RD-F16,-88.21037434,39.88929461,1.85
RD-F17,-88.20994965,39.8892995,1.67
RD-F18,-88.20952484,39.88930384999999,1.94
RD-F19,-88.20909799,39.88930873,1.53
RD-F2,-88.21635718,39.88923082,2.46
RD-F20,-88.20867019,39.88931321,1.4
RD-F21,-88.20824301,39.88931804,1.59
RD-F3,-88.2159164,39.88923535999999,2.35
RD-F4,-88.21549103,39.88923892999999,2.47
RD-F5,-88.21506419,39.88924408,1.61
RD-F6,-88.21463293,39.88924989000001,2.27
RD-F7,-88.21420382,39.88925445,2.34
RD-F8,-88.21377636,39.88925895999999,2.41
RD-F9,-88.21335178,39.88926392,2.42
RD-G1,-88.21677214,39.88888662,1.93
RD-G10,-88.21293686,39.88892758,1.46
RD-G11,-88.21250671,39.888932959999984,2.08
RD-G12,-88.21207789,39.88893738,2.86
RD-G13,-88.21164354,39.88894257,2.62
RD-G14,-88.21122113,39.88894637,2.92
RD-G15,-88.21079046,39.88895154,2.14
RD-G16,-88.21035553,39.88895659,2.24
RD-G17,-88.20992114,39.88896108,2.26
RD-G18,-88.20948166,39.88896542999999,1.66
RD-G19,-88.2090544,39.88896978999999,1.38
RD-G2,-88.21634950000002,39.88889159000001,2.89
RD-G20,-88.20862276,39.88897364,1.32
RD-G21,-88.20818465,39.88897869000001,1.57
RD-G3,-88.21592204,39.88889618,2.92
RD-G4,-88.21549283,39.88890105000001,2.44
RD-G5,-88.21506579,39.888905990000005,2.51
RD-G6,-88.21464024,39.88891043,1.76
RD-G7,-88.21421423,39.88891500000001,1.98
RD-G8,-88.21378922,39.88891843,2.33
RD-G9,-88.21336175,39.88892288999999,2.24
RD-H1,-88.21678522,39.888554679999984,1.99
RD-H10,-88.21293382,39.88859459999999,2.17
RD-H11,-88.21250439,39.88859942999999,2.81
RD-H12,-88.21207684,39.88860403,2.12
RD-H13,-88.21163672,39.88860872000001,2.18
RD-H14,-88.21119541,39.88861328999999,2.62
RD-H15,-88.21076636,39.88861846999999,1.59
RD-H16,-88.21033559,39.88862220000001,1.93
RD-H17,-88.20990653000001,39.88862751999999,2.43
RD-H18,-88.20947194,39.88863234,2.52
RD-H19,-88.2090338,39.8886371,1.42
RD-H2,-88.21637533,39.88855754,2.36
RD-H20,-88.20859688,39.88864164999999,1.6
RD-H21,-88.20816547,39.88864605999999,1.5
RD-H3,-88.21594749,39.88856261,2.69
RD-H4,-88.21552301,39.88856811,2.12
RD-H5,-88.21509061,39.88857204,1.7
RD-H6,-88.21465382,39.88857699,1.59
RD-H7,-88.2142247,39.88858167,1.56
RD-H8,-88.21379562,39.88858586,1.52
RD-H9,-88.21336757,39.88859124999999,1.9
RD-I1,-88.21678783,39.88822138999999,2.6
RD-I10,-88.21289657,39.88826292,1.81
RD-I11,-88.21246581,39.88826732,1.52
RD-I12,-88.21203876,39.88827186,1.48
RD-I13,-88.21160533,39.88827625,1.7
RD-I14,-88.21117562000002,39.88828069000001,1.87
RD-I15,-88.21074726,39.88828613,1.79
RD-I16,-88.21031355,39.88829074,1.73
RD-I17,-88.20988593,39.88829506999999,2.09
RD-I18,-88.20945458,39.88829955999999,2.39
RD-I19,-88.20902303,39.88830431,1.73
RD-I2,-88.21633905000002,39.88822541999999,1.76
RD-I20,-88.20858907,39.88830933,1.67
RD-I21,-88.20814382,39.88831554,0.82
RD-I3,-88.21590617,39.888230400000005,1.65
RD-I4,-88.21547119,39.88823484,1.99
RD-I5,-88.21504674,39.88823956,1.63
RD-I6,-88.21461691,39.88824378000001,1.89
RD-I7,-88.21419091,39.88824904,1.47
RD-I8,-88.21375607,39.88825314,1.85
RD-I9,-88.21332949,39.88825841,1.79
RD-J1,-88.21680027,39.88789185,1.88
RD-J10,-88.21288929,39.8879326,2.03
RD-J11,-88.2124599,39.88793776000001,1.56
RD-J12,-88.21202923,39.88794166,1.73
RD-J13,-88.21159349,39.88794653,2.01
RD-J14,-88.21115684,39.8879513,2.23
RD-J15,-88.21072824,39.88795612,1.7
RD-J16,-88.21029925,39.88796016,2.32
RD-J17,-88.2098729,39.88796486999999,1.86
RD-J18,-88.20944527,39.88796904,1.83
RD-J19,-88.20901219,39.88797401,1.94
RD-J2,-88.21637218,39.88789588,2.22
RD-J20,-88.20858371,39.88797882000001,1.53
RD-J21,-88.20814413,39.88798343,1.73
RD-J3,-88.21593366,39.88790073,1.74
RD-J4,-88.21550528,39.88790518,1.78
RD-J5,-88.21507458,39.88791029,2.16
RD-J6,-88.21463386,39.88791397999999,1.56
RD-J7,-88.21419997,39.88791869,1.55
RD-J8,-88.2137712,39.88792379999999,1.53
RD-J9,-88.21333578,39.88792783,1.31
RD-K1,-88.21680675,39.88756178999999,1.64
RD-K10,-88.21287172,39.88760412999999,2.21
RD-K11,-88.21244612,39.88760871000001,1.64
RD-K12,-88.21201681,39.88761352,1.88
RD-K13,-88.21158523,39.88761763999999,2.51
RD-K14,-88.21115331,39.88762285,1.4
RD-K15,-88.21072255,39.88762769,2.62
RD-K16,-88.2102866,39.88763094,1.66
RD-K17,-88.2098538,39.88763350999999,0.63
RD-K18,-88.20942273,39.88764039,1.13
RD-K19,-88.20898975,39.88764582,1.95
RD-K2,-88.21637483000002,39.88756639,2.33
RD-K20,-88.20855561,39.88765043999999,1.5
RD-K21,-88.20812359,39.88765516000001,2.15
RD-K3,-88.21593813,39.88757176,2.34
RD-K4,-88.21550149,39.88757581,2.19
RD-K5,-88.2150591,39.88757957,1.56
RD-K6,-88.21462718,39.88758612,1.71
RD-K7,-88.21419287,39.88759063999999,1.74
RD-K8,-88.21375116,39.88759492999999,1.63
RD-K9,-88.21330009,39.88759965,2.29
RD-L1,-88.21672586,39.88729214,1.68
RD-L10,-88.21286306,39.887331980000006,3.49
RD-L11,-88.21243468,39.887336440000006,1.57
RD-L12,-88.21200404,39.88734197,2.26
RD-L13,-88.21157347,39.88734699,2.29
RD-L14,-88.21114355,39.88734743,2.42
RD-L15,-88.21071204,39.88735026,0.57
RD-L16,-88.21028034,39.88735975000001,2.16
RD-L17,-88.20985271000002,39.88736426,2.55
RD-L18,-88.20942568,39.88736885999999,3.14
RD-L19,-88.20899335,39.8873737,2.01
RD-L2,-88.2162997,39.88729606999999,1.76
RD-L20,-88.20857934,39.88737788000001,1.51
RD-L21,-88.20814440000001,39.88738287999999,2.23
RD-L3,-88.21587309,39.88730081,1.81
RD-L4,-88.21544351,39.88730668,1.99
RD-L5,-88.21501537,39.88730913999999,1.8
RD-L6,-88.21458277,39.88731454999999,1.73
RD-L7,-88.21415654,39.88731937,1.65
RD-L8,-88.2137295,39.88732302999999,2.54
RD-L9,-88.21329344,39.88732783999999,2.59
