location_id,X,Y,SOCc
RT-A1,-88.15121812,39.886340440000005,1.58
RT-A10,-88.15121501,39.883372,2.41
RT-A11,-88.15121403,39.88304102000001,2.49
RT-A12,-88.15121324,39.88270901999999,2.25
RT-A13,-88.15121406,39.88238211,2.1
RT-A14,-88.15121416,39.88205255,2.32
RT-A15,-88.15121694,39.88172093000001,2.37
RT-A16,-88.15121431,39.88139136,2.46
RT-A17,-88.15121776,39.88094308,2.59
RT-A18,-88.15121462,39.88061465999999,2.22
RT-A19,-88.15121712,39.8802858,2.15
RT-A2,-88.15121461,39.88601225999999,1.79
RT-A3,-88.15121364,39.885679,2.67
RT-A4,-88.15121382,39.88535061999999,2.75
RT-A5,-88.15121695,39.885021900000005,2.03
RT-A6,-88.15121769,39.88469215999999,2.63
RT-A7,-88.15121607,39.88436304,2.17
RT-A8,-88.15121513,39.88403542999999,2.95
RT-A9,-88.15121505,39.88370667000001,2.75
RT-B1,-88.15162222,39.88635028000001,2.0
RT-B10,-88.15165227,39.88338748,4.0
RT-B11,-88.15165115,39.88305388999999,2.51
RT-B13,-88.15164926,39.88239138,1.87
RT-B14,-88.15164811,39.88205876999999,3.1
RT-B15,-88.15164702,39.88172830999999,2.93
RT-B16,-88.15164581,39.88139701,2.19
RT-B17,-88.15164400000002,39.88094623999999,1.65
RT-B18,-88.15164468,39.88061465999999,2.03
RT-B19,-88.15164239000002,39.88028305,1.69
RT-B2,-88.15163019,39.88602450999999,2.15
RT-B3,-88.15163158,39.8857068,2.16
RT-B4,-88.1516358,39.88537531000001,1.86
RT-B5,-88.15163857,39.88504553,1.28
RT-B6,-88.15164677,39.88471582,2.13
RT-B7,-88.15164634,39.88438426,2.96
RT-B8,-88.15165074,39.88405173,2.03
RT-B9,-88.15165296,39.88371998,2.17
RT-C1,-88.15205606,39.88635253,2.29
RT-C10,-88.1520785,39.88332875999999,3.77
RT-C11,-88.15207689,39.88299428999999,3.11
RT-C12,-88.15207673,39.882656880000006,2.48
RT-C13,-88.15207545,39.882322,2.34
RT-C14,-88.15207558000002,39.88198671,2.04
RT-C15,-88.15207338,39.88164894,2.01
RT-C16,-88.15207261,39.881339620000006,1.75
RT-C17,-88.15207222,39.88094779,1.69
RT-C18,-88.15207176,39.88061437,2.14
RT-C19,-88.15207118,39.88028226,1.88
RT-C2,-88.15208052,39.88601674000001,1.71
RT-C3,-88.15208613,39.88568435999999,1.57
RT-C4,-88.15208554,39.88535031999999,1.9
RT-C5,-88.1520847,39.885013920000006,2.1
RT-C6,-88.15208366,39.88467649,2.26
RT-C7,-88.15208206,39.88433946,2.13
RT-C8,-88.15208182,39.88400638000001,3.1
RT-C9,-88.15207985,39.88367011,2.34
RT-D1,-88.15252448,39.88634658,2.46
RT-D10,-88.15251676,39.88336719000001,1.9
RT-D11,-88.15251509,39.88302726,2.17
RT-D12,-88.15251356,39.88269214999999,2.34
RT-D13,-88.15251374,39.88235572999998,2.25
RT-D14,-88.15251212,39.88201762999999,2.31
RT-D15,-88.15251079,39.88168108000001,2.53
RT-D16,-88.15250857,39.88134309,2.07
RT-D17,-88.15250808,39.88095232999999,1.91
RT-D18,-88.1525068,39.88062056999999,1.94
RT-D19,-88.15250788,39.88028891,1.51
RT-D2,-88.15252437,39.88606853000001,2.17
RT-D3,-88.15252322,39.88572977,1.95
RT-D4,-88.15252321,39.88539301,1.97
RT-D5,-88.15252088,39.88505420999999,1.88
RT-D6,-88.15252068,39.88471668999999,2.52
RT-D7,-88.15251973,39.88438082999999,2.15
RT-D8,-88.15251901,39.88403888999999,1.84
RT-D9,-88.15251782,39.88370300999999,2.72
RT-E1,-88.15296973,39.88636728,1.99
RT-E10,-88.15295949,39.88330195,1.67
RT-E11,-88.15295997,39.88296030000001,2.0
RT-E12,-88.15295872,39.88261912,2.42
RT-E13,-88.15295724,39.88227889,2.19
RT-E14,-88.15295594,39.88193918999998,2.91
RT-E15,-88.15295527,39.88160162999999,2.74
RT-E16,-88.15295369,39.88126371,1.99
RT-E17,-88.15295334,39.880963510000015,1.8
RT-E18,-88.15295348,39.88062732,1.68
RT-E19,-88.15295248,39.88029536999999,1.17
RT-E2,-88.1529695,39.8860287,1.93
